Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2018-12-22,16:15 (20:45),Atlético Madrid,1.0,1–0,1.1,Espanyol,58069,Estadio Wanda Metropolitano,Mario Melero,Match Report,
17,Sat,2018-12-22,18:30 (23:00),Barcelona,1.2,2–0,0.7,Celta Vigo,78686,Camp Nou,Eduardo Prieto,Match Report,
17,Sat,2018-12-22,20:45 (01:15),Athletic Club,1.1,1–1,0.6,Valladolid,42633,San Mamés,José Sánchez,Match Report,
17,Sun,2018-12-23,12:00 (16:30),Valencia,2.6,2–1,2.0,Huesca,36547,Estadio de Mestalla,Jesús Gil,Match Report,
17,Sun,2018-12-23,16:15 (20:45),Leganés,0.8,1–1,0.8,Sevilla,11321,Estadio Municipal de Butarque,Alejandro Hernández,Match Report,
17,Sun,2018-12-23,18:30 (23:00),Rayo Vallecano,2.1,2–1,1.0,Levante,11206,Estadio del Rayo Vallecano,Ignacio Iglesias,Match Report,
17,Thu,2019-01-03,21:30 (02:00),Villarreal,0.9,2–2,1.2,Real Madrid,19903,Estadio de la Cerámica,Pablo González,Match Report,
18,Fri,2019-01-04,19:00 (23:30),Levante,1.6,2–2,1.1,Girona,19415,Estadio Ciudad de Valencia,Alberto Undiano,Match Report,
18,Fri,2019-01-04,21:00 (01:30),Espanyol,1.2,1–0,0.4,Leganés,15085,RCDE Stadium,José González,Match Report,
18,Sat,2019-01-05,13:00 (17:30),Valladolid,1.6,0–1,0.9,Rayo Vallecano,17261,Estadio Municipal José Zorrilla,Adrián Cordero,Match Report,
18,Sat,2019-01-05,16:15 (20:45),Alavés,1.8,2–1,1.2,Valencia,18304,Estadio de Mendizorroza,David Medié,Match Report,
18,Sat,2019-01-05,20:45 (01:15),Huesca,1.5,2–1,1.4,Betis,6135,Estadio El Alcoraz,Ricardo de Burgos,Match Report,
18,Sun,2019-01-06,12:00 (16:30),Eibar,1.8,0–0,0.9,Villarreal,4141,Estadio Municipal de Ipurúa,Santiago Jaime,Match Report,
18,Sun,2019-01-06,16:15 (20:45),Sevilla,1.5,1–1,0.8,Atlético Madrid,38603,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
18,Sun,2019-01-06,18:30 (23:00),Real Madrid,2.6,0–2,2.1,Real Sociedad,53412,Estadio Santiago Bernabéu,José Luis Munuera,Match Report,
